1459899	广东 广州市	联通数据卡	020	510000
1459889	广东 东莞市	联通数据卡	0769	523000
1459892	广东 东莞市	联通数据卡	0769	523000
1459891	广东 东莞市	联通数据卡	0769	523000
1459890	广东 东莞市	联通数据卡	0769	523000
1459898	广东 佛山市	联通数据卡	0757	528000
1459897	广东 佛山市	联通数据卡	0757	528000
1459896	广东 佛山市	联通数据卡	0757	528000
1459895	广东 佛山市	联通数据卡	0757	528000
1459893	广东 佛山市	联通数据卡	0757	528000
1459894	广东 佛山市	联通数据卡	0757	528000
1459887	广东 东莞市	联通数据卡	0769	523000
1459883	广东 东莞市	联通数据卡	0769	523000
1459881	广东 东莞市	联通数据卡	0769	523000
1459880	广东 东莞市	联通数据卡	0769	523000
1459884	广东 东莞市	联通数据卡	0769	523000
1459882	广东 东莞市	联通数据卡	0769	523000
1459886	广东 东莞市	联通数据卡	0769	523000
1459885	广东 东莞市	联通数据卡	0769	523000
1459888	广东 东莞市	联通数据卡	0769	523000
1459809	湖北 十堰市	联通数据卡	0719	442000
1459799	新疆 乌鲁木齐市	联通数据卡	0991	830000
1459806	湖北 十堰市	联通数据卡	0719	442000
1459805	湖北 十堰市	联通数据卡	0719	442000
1459803	湖北 十堰市	联通数据卡	0719	442000
1459808	湖北 十堰市	联通数据卡	0719	442000
1459800	湖北 襄阳市	联通数据卡	0710	441000
1459802	湖北 十堰市	联通数据卡	0719	442000
1459801	湖北 黄石市	联通数据卡	0714	435000
1459804	湖北 十堰市	联通数据卡	0719	442000
1459807	湖北 十堰市	联通数据卡	0719	442000
1459795	新疆 巴音郭楞	联通数据卡	0996	841000
1459797	新疆 巴音郭楞	联通数据卡	0996	841000
1459796	新疆 巴音郭楞	联通数据卡	0996	841000
1459791	新疆 喀什地区	联通数据卡	0998	844000
1459794	新疆 昌吉回族自治州	联通数据卡	0994	831100
1459792	新疆 喀什地区	联通数据卡	0998	844000
1459790	新疆 伊犁哈萨克自治州	联通数据卡	0999	835000
1459793	新疆 喀什地区	联通数据卡	0998	844000
1459789	新疆 克拉玛依市	联通数据卡	0990	834000
1459798	新疆 乌鲁木齐市	联通数据卡	0991	830000
1459782	新疆 喀什地区	联通数据卡	0998	844000
1459787	新疆 乌鲁木齐市	联通数据卡	0991	830000
1459786	新疆 乌鲁木齐市	联通数据卡	0991	830000
1459781	新疆 阿克苏地区	联通数据卡	0997	843000
1459788	新疆 克拉玛依市	联通数据卡	0990	834000
